На доске было написано натуральное число. Пришла Машенька, умножила его на 16 и записала вместо него. Прибежал Вовочка и стёр последнюю цифру. Пришла Настенька и умножила число на доске на 6. Вовочка снова стёр последнюю цифру. Могло ли после этого на доске оказаться первоначальное число? ;Нет;;
На доске было записано натуральное число. Петя умножил его на 7 и записал результат. Катя разделила новое число на 3 и записала результат. Могло ли на доске оказаться первоначальное число?;Нет;;
Изначально на доске было натуральное число. Вася умножил его на 12 и записал вместо него. Затем Маша прибавила к новому числу 5. Могло ли новое число быть кратным исходному?;Да;;
На доске было записано число. Коля увеличил его в 9 раз. Аня удалила последнюю цифру получившегося числа. Могло ли на доске оказаться первоначальное число?;Нет;;
На доске написано число. Лена умножила его на 5 и прибавила 8. Затем Ваня разделил число на 2. Могли результат быть равным исходному?;Нет;;
Изначальное число умножили на 4. К полученному результату прибавили 2. Затем разделили на 3. Может ли результат быть равным половине первоначального числа?;Да;;
На доске написано число. Оля умножила его на 8 и прибавила 7. Затем Витя вычел 3. Могло ли результат быть равным удвоенному исходному числу?;Да;;
Маша умножила число на 14. Потом Олег удалил последнюю цифру результата. Затем Даша умножила результат на 5. Могло ли итоговое число совпасть с исходным?;Нет;;
Сначала число N умножили на 3, потом прибавили 6. Затем результат разделили на 2. Мог ли результат быть равен N+3?;Да;;
Изначальное число N умножили на 11, затем вычли 13. После этого разделили на 2. Может ли результат быть равен N−1?;Нет;;
На доске написано число. Петя умножил его на 10. Затем Коля разделил результат на 4. Могло ли на доске оказаться изначальное число?;Нет;;
По кругу сидело пять человек, каждый из которых был рыцарем или лжецом. Известно также, что было хотя бы по одному человеку обоих типов. Каждому из сидящих за столом задали вопрос: «Сколько среди двух твоих соседей рыцарей?» На этот вопрос не были даны никакие ответы, кроме, возможно, «Два» и «Ноль». Сколько рыцарей могло сидеть в круге?;2;3;4
Число умножили на 20, потом вычли 100. После этого разделили на 10. Могло ли полученное число совпасть с первоначальным?;Нет;;
На доске было число. Вася умножил его на 9, а затем удалил последнюю цифру результата. Могло ли полученное число оказаться в два раза меньше исходного?;Нет;;
Изначальное число увеличили в 6 раз, потом удалили последнюю цифру. Затем умножили результат на 2. Может ли итоговое число быть равно?;Нет;;
На доске было число. Его умножили на 25, а затем удалили последнюю цифру. После этого прибавили 4. Может ли результат быть равен изначальному числу?;Нет;;
По кругу сидело 6 человек: рыцари и лжецы. Каждый отвечал на вопрос: «Сколько рыцарей сидят рядом с тобой?» Ответы: «Один» или «Два». Сколько рыцарей могло быть в круге?;3;4;
В круге 7 человек: рыцари и лжецы. Каждый отвечает «Два» или «Ноль». Если в круге есть хотя бы один рыцарь и один лжец, сколько лжецов могло быть?;3;4;
По кругу сидят 5 человек. Они отвечают только «Один» или «Ноль». Среди них хотя бы один рыцарь. Могло ли быть 4 лжеца?;Нет;;
По кругу сидят 8 человек, которые говорят «Три» или «Ноль». Если рыцари всегда говорят правду, а лжецы всегда лгут, сколько рыцарей могло быть?;2;3;4
В круге из 6 человек рыцари говорят «Два», если оба соседа — рыцари, а лжецы всегда говорят «Ноль». Сколько рыцарей может быть в круге?;4;;
По кругу сидят 10 человек, которые говорят «Два» или «Три». Среди них есть хотя бы один рыцарь и один лжец. Сколько рыцарей может быть в круге?;5;6;7
круге 7 человек, каждый из которых говорит «Два» или «Ноль». Если хотя бы один человек лжёт, сколько рыцарей может быть?;3;4;
В круге 6 человек, рыцари говорят «Три», если оба соседа — рыцари, а лжецы всегда говорят «Ноль». Сколько рыцарей может быть?;3;4;
По кругу 9 человек. Каждый из них говорит «Два» или «Ноль». Среди них хотя бы один рыцарь. Могло ли быть 6 рыцарей?;Да;;
По кругу 5 человек. Рыцари говорят «Один», если один из их соседей — рыцарь, а лжецы всегда говорят «Два». Сколько рыцарей может быть?;2;;
В круге 8 человек. Рыцари говорят «Ноль», если оба соседа — лжецы, а лжецы всегда говорят «Один». Сколько рыцарей могло быть?;4;5;
По кругу 6 человек. Рыцари говорят «Два», если оба их соседа — рыцари, а лжецы говорят «Один». Сколько рыцарей может быть?;3;;
В круге 4 человека. Каждый говорит «Два» или «Ноль». Среди них хотя бы один рыцарь. Может ли быть 3 рыцаря?;Нет;;
По кругу 5 человек, рыцари говорят «Два», если оба соседа — рыцари, а лжецы всегда говорят «Два». Сколько рыцарей может быть?;3;4;
В круге 6 человек, рыцари говорят «Один», если один из соседей — рыцарь, а лжецы всегда говорят «Ноль». Сколько рыцарей может быть?;3;;
Четыре прямых проведены так, что никакие две из них не параллельны и никакие три не пересекаются в одной точке. Они разделили плоскость на 11 частей. Можно ли расставить в эти части натуральные числа от 1 до 11 (каждое — один раз) так, чтобы для каждой прямой суммы чисел по разные стороны от неё были равными?;Нет;;
На шахматной доске 8х8 размещают 8 ферзей таким образом, что они не бьют друг друга, какое количество различных комбинаций может быть? (Ферзь бьёт по диагоналям, горизонтали и вертикали);64;;
Три прямые разделили плоскость на 7 областей. Можно ли расставить числа от 1 до 7 так, чтобы сумма чисел по разные стороны каждой прямой была равной?;Нет;;
Пять прямых разделили плоскость на 16 областей. Можно ли расставить числа от 1 до 16 так, чтобы сумма чисел по разные стороны каждой прямой была равной?;Нет;;
Четыре прямые разделили плоскость на 11 областей. Можно ли расставить числа от 1 до 11 так, чтобы сумма чисел в каждой области была одинаковой?;Нет;;
Две прямые разделили плоскость на 4 области. Можно ли расставить числа от 1 до 4 так, чтобы сумма чисел по разные стороны каждой прямой была равной?;Да;;
Шесть прямых разделили плоскость на 22 области. Можно ли расставить числа от 1 до 22 так, чтобы сумма чисел по разные стороны каждой прямой была равной?;Нет;;
Одна прямая разделила плоскость на 2 области. Можно ли расставить числа 1 и 2 так, чтобы сумма чисел по разные стороны прямой была равной?;Нет;;
